DOCUMENTID,AFFILIATEWEBID,BIDAMOUNT,BIDDATE,BIDTIME,RANK,AVAILABLELOADS,STATUS,ISINITIATOR,GROUPID,PASSKEY,LOADS,REASON,WINNINGBID,USERNAME,CREDITSHARES,SHARES,GROSSWEIGHT,DESCRIPTION,ID,INITIATORWEBID,WONLOAD,WINNINGBIDLOAD,AUCTIONDATE,SESSIONINFO,TRANSPORTATION
BL167676,Atlanta,100.0,20180719.0,1529.0,0.0,1,3.0,1.0,,,1.0,,100.0,mloeffl,0.0,100.0,43000.0,"Mix, Sauce, Noodles, Test2SR",302140.0,,1.0,1.0,20180719.0,2,0
ID_8741,Atlanta,500.0,20180727.0,1555.0,0.0,1,3.0,1.0,,,1.0,,500.0,mloeffl,0.0,500.0,20000.0,AAA Disaster Test,302150.0,,1.0,1.0,20180727.0,2,0
ID_8734,Gary,2500.0,20180727.0,1558.0,0.0,1,3.0,1.0,,,1.0,,2500.0,mloeffl,0.0,2500.0,10000.0,"AAA Snack, Assorted Products",302151.0,,1.0,1.0,20180727.0,2,0
BL169128,Boise,500.0,20181002.0,1352.0,0.0,1,3.0,1.0,,,1.0,,500.0,mloeffl,0.0,500.0,38558.52,AAA Test 1,302166.0,,1.0,1.0,20181002.0,2,0
BL169129,Chicago,4000.0,20181002.0,1359.0,0.0,1,3.0,1.0,,,1.0,,4000.0,mloeffl,0.0,4000.0,51105.7,AAA Test 2,302167.0,,1.0,1.0,20181002.0,2,1
BL281011,Nashville,50.0,20190624.0,1123.0,0.0,1,3.0,1.0,,,1.0,,50.0,melandfear,0.0,50.0,120000.0,"Meat, Fish for seafood",302225.0,,1.0,1.0,20190624.0,1,0
ID_9207,Nashville,100.0,20190624.0,1122.0,0.0,1,3.0,1.0,,,1.0,,100.0,melandfear,0.0,100.0,42000.0,"Test, Test #2",302223.0,,1.0,1.0,20190624.0,1,0
ID_9208,Nashville,200.0,20190624.0,1122.0,0.0,1,3.0,1.0,,,1.0,,200.0,melandfear,0.0,200.0,42000.0,"TEST, tEST #10",302224.0,,1.0,1.0,20190624.0,1,0
BL181068,Nashville,-600.0,20190624.0,1123.0,0.0,1,3.0,1.0,,,1.0,,-600.0,melandfear,0.0,-600.0,16222.4,"Meat, Chicken Patties",302226.0,,1.0,1.0,20190624.0,1,0
BL181084,Nashville,47.0,20190624.0,1124.0,0.0,1,3.0,1.0,,,1.0,,47.0,melandfear,0.0,47.0,13949.0,"Test, Marion Test",302227.0,,1.0,1.0,20190624.0,1,0
BL229331,Atlanta,0.0,20220414.0,1346.0,0.0,12,3.0,1.0,,,1.0,,0.0,ctheus,0.0,0.0,42042.0,Test ML1,302304.0,,1.0,1.0,20220414.0,2,0
BL229331,Elmira,500.0,20220414.0,1349.0,0.0,12,3.0,1.0,,,1.0,,500.0,ctheus,288.0,212.0,42042.0,Test ML1,302305.0,,1.0,1.0,20220414.0,2,0
BL229381,Chicago,2000.0,20220920.0,1056.0,0.0,3,3.0,1.0,,melandfear_BL229381_Chicago,1.0,,4000.0,melandfear,0.0,2000.0,39899.0,"NUTRI - Ensure, Gluc, Pedialyte, etc",302395.0,,1.0,1.0,20220920.0,1,1
BL229381,StCharlesZD,2000.0,20220920.0,110.0,0.0,3,3.0,0.0,,melandfear_BL229381_Chicago,1.0,,4000.0,melandfear,0.0,2000.0,39899.0,"NUTRI - Ensure, Gluc, Pedialyte, etc",302395.0,Chicago,1.0,1.0,20220920.0,1,0
BL229369,Atlanta,12500.0,20230724.0,505.0,0.0,1,3.0,1.0,,,1.0,,12500.0,RW_ADMIN,0.0,12500.0,11670.46,"Dough, Biscuit Dough (5-24 loaded to Choice)",302490.0,,1.0,1.0,20230724.0,1,0
ID_10321,Atlanta,1.0,20230724.0,541.0,0.0,1,3.0,1.0,,,1.0,,1.0,RW_ADMIN,0.0,1.0,42000.0,"Test, Load",302491.0,,1.0,1.0,20230724.0,1,0
BL229475,Atlanta,1200.0,20230724.0,455.0,0.0,2,3.0,1.0,,,1.0,,1200.0,RW_ADMIN,0.0,1200.0,33484.96,Frozen Meals 1,302489.0,,1.0,1.0,20230724.0,1,0
BL229483,NewYorkFRO,-1000.0,20230725.0,1512.0,0.0,1,3.0,1.0,,,1.0,,-1000.0,ctheus,0.0,-1000.0,8840.0,cereal,302492.0,,1.0,1.0,20230725.0,2,0
BL229362,manchesterzd,-1900.0,20230727.0,1150.0,0.0,1,3.0,1.0,,,1.0,,-1900.0,ctheus,0.0,-1900.0,42000.0,"Dairy, Almondmilk (5-24 loaded to Choice)",302493.0,,1.0,1.0,20230727.0,1,1
BL229485,EastHaven,500.0,20230727.0,1155.0,0.0,1,3.0,1.0,,,1.0,,500.0,ctheus,0.0,500.0,8840.0,Cereal,302494.0,,1.0,1.0,20230727.0,1,1
BL229362,manchesterzd,-1999.0,20230808.0,1404.0,0.0,3,3.0,1.0,,,1.0,,-1999.0,ctheus,0.0,-1999.0,42000.0,"Dairy, Almondmilk (5-24 loaded to Choice)",302496.0,,1.0,1.0,20230808.0,2,1
BL229508,Atlanta,-1999.0,20230808.0,1400.0,0.0,3,3.0,1.0,,,1.0,,-1999.0,ctheus,0.0,-1999.0,27729.79,"MIX, Marie Callender cream pie, fish fillets, frozen entrees etc.",302495.0,,1.0,1.0,20230808.0,2,1
BL229553,StLouis,1.0,20231114.0,1512.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302694.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,2.0,20231114.0,1512.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302695.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,3.0,20231114.0,1512.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302696.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,4.0,20231114.0,1512.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302697.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,5.0,20231114.0,1512.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302698.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,6.0,20231114.0,1512.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302699.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,7.0,20231114.0,1512.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302700.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,8.0,20231114.0,1512.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302701.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,9.0,20231114.0,1512.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302702.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,10.0,20231114.0,1512.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302703.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,11.0,20231114.0,1512.0,0.0,7,3.0,1.0,,,1.0,,11.0,melandfear,0.0,11.0,41347.17,"Bev, Test overallaction PM",302704.0,,1.0,1.0,20231114.0,2,0
BL229553,StLouis,12.0,20231114.0,1512.0,0.0,7,3.0,1.0,,,1.0,,12.0,melandfear,0.0,12.0,41347.17,"Bev, Test overallaction PM",302705.0,,1.0,1.0,20231114.0,2,0
BL229553,Lexington,-2000.0,20231114.0,1514.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302706.0,,1.0,1.0,20231114.0,2,0
BL229553,Lexington,87.0,20231114.0,1514.0,0.0,7,3.0,1.0,,,1.0,,87.0,melandfear,0.0,87.0,41347.17,"Bev, Test overallaction PM",302707.0,,1.0,1.0,20231114.0,2,0
BL229553,Lexington,96.0,20231114.0,1514.0,0.0,7,3.0,1.0,,,1.0,,96.0,melandfear,0.0,96.0,41347.17,"Bev, Test overallaction PM",302708.0,,1.0,1.0,20231114.0,2,0
BL229553,Lexington,2.0,20231114.0,1514.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302709.0,,1.0,1.0,20231114.0,2,0
BL229553,Lexington,369.0,20231114.0,1514.0,0.0,7,3.0,1.0,,,1.0,,369.0,melandfear,0.0,369.0,41347.17,"Bev, Test overallaction PM",302710.0,,1.0,1.0,20231114.0,2,0
BL229553,Lexington,123.0,20231114.0,1514.0,0.0,7,3.0,1.0,,,1.0,,123.0,melandfear,0.0,123.0,41347.17,"Bev, Test overallaction PM",302711.0,,1.0,1.0,20231114.0,2,0
BL229553,Lexington,-500.0,20231114.0,1514.0,0.0,7,7.0,1.0,,,1.0,There were higher bids.,11.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallaction PM",302712.0,,1.0,1.0,20231114.0,2,0
BL229554,Lexington,-5.0,20231114.0,1514.0,0.0,1,7.0,1.0,,,1.0,There were higher bids.,60.0,melandfear,0.0,0.0,41347.17,"Bev, Test overallocation #2 PM",302713.0,,1.0,1.0,20231114.0,2,0
BL229555,Lexington,1.0,20231114.0,1514.0,0.0,1,7.0,1.0,,,1.0,There were higher bids.,60.0,melandfear,0.0,0.0,41347.17,"Bev, Test single load",302714.0,,1.0,1.0,20231114.0,2,0
BL229552,Lexington,1.0,20231114.0,1514.0,0.0,1,7.0,1.0,,,1.0,There were higher bids.,60.0,melandfear,0.0,0.0,34610.4,"BEV, Water",302715.0,,1.0,1.0,20231114.0,2,0
BL229514,Lexington,-2000.0,20231114.0,1515.0,0.0,1,3.0,1.0,,,1.0,,-2000.0,melandfear,0.0,-2000.0,42373.8,afsd;fsda,302716.0,,1.0,1.0,20231114.0,2,0
BL229563,Lexington,1.0,20231114.0,1515.0,0.0,6,3.0,1.0,,,1.0,,1.0,melandfear,0.0,1.0,41160.0,"Dough, test overallocation 4",302717.0,,1.0,1.0,20231114.0,2,0
BL229564,Lexington,1.0,20231114.0,1515.0,0.0,3,7.0,1.0,,,1.0,There were higher bids.,3.0,melandfear,0.0,0.0,41160.0,"Dough, Test overallocation 5",302718.0,,1.0,1.0,20231114.0,2,0
BL229564,Lexington,3.0,20231114.0,1515.0,0.0,3,3.0,1.0,,,1.0,,3.0,melandfear,0.0,3.0,41160.0,"Dough, Test overallocation 5",302719.0,,1.0,1.0,20231114.0,2,0
BL229564,Lexington,5.0,20231114.0,1515.0,0.0,3,3.0,1.0,,,1.0,,5.0,melandfear,0.0,5.0,41160.0,"Dough, Test overallocation 5",302720.0,,1.0,1.0,20231114.0,2,0
BL229553,Missoula,60.0,20231114.0,1516.0,0.0,7,3.0,1.0,,,1.0,,60.0,melandfear,0.0,60.0,41347.17,"Bev, Test overallaction PM",302721.0,,1.0,1.0,20231114.0,2,0
BL229554,Missoula,60.0,20231114.0,1516.0,0.0,1,3.0,1.0,,,1.0,,60.0,melandfear,0.0,60.0,41347.17,"Bev, Test overallocation #2 PM",302722.0,,1.0,1.0,20231114.0,2,0
BL229555,Missoula,60.0,20231114.0,1516.0,0.0,1,3.0,1.0,,,1.0,,60.0,melandfear,0.0,60.0,41347.17,"Bev, Test single load",302723.0,,1.0,1.0,20231114.0,2,0
BL229552,Missoula,60.0,20231114.0,1516.0,0.0,1,3.0,1.0,,,1.0,,60.0,melandfear,0.0,60.0,34610.4,"BEV, Water",302724.0,,1.0,1.0,20231114.0,2,0
BL229561,Missoula,60.0,20231114.0,1516.0,0.0,18,3.0,1.0,,,1.0,,60.0,melandfear,0.0,60.0,41160.0,"Dough, Cres - test overallocation 2",302725.0,,1.0,1.0,20231114.0,2,0
BL229562,Missoula,60.0,20231114.0,1516.0,0.0,9,3.0,1.0,,,1.0,,60.0,melandfear,0.0,60.0,41160.0,"Dough, Test Overallocation 3",302726.0,,1.0,1.0,20231114.0,2,0
BL229563,Missoula,60.0,20231114.0,1517.0,0.0,6,3.0,1.0,,,1.0,,60.0,melandfear,0.0,60.0,41160.0,"Dough, test overallocation 4",302727.0,,1.0,1.0,20231114.0,2,0
BL229564,Missoula,60.0,20231114.0,1517.0,0.0,3,3.0,1.0,,,1.0,,60.0,melandfear,0.0,60.0,41160.0,"Dough, Test overallocation 5",302728.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,-500.0,20231114.0,1504.0,0.0,18,7.0,1.0,,,1.0,There were higher bids.,2.0,melandfear,0.0,0.0,41160.0,"Dough, Cres - test overallocation 2",302669.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,-45.0,20231114.0,1504.0,0.0,18,7.0,1.0,,,1.0,There were higher bids.,2.0,melandfear,0.0,0.0,41160.0,"Dough, Cres - test overallocation 2",302670.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,-9.0,20231114.0,1504.0,0.0,18,7.0,1.0,,,1.0,There were higher bids.,2.0,melandfear,0.0,0.0,41160.0,"Dough, Cres - test overallocation 2",302671.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,88.0,20231114.0,1504.0,0.0,18,3.0,1.0,,,1.0,,88.0,melandfear,0.0,88.0,41160.0,"Dough, Cres - test overallocation 2",302672.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,99.0,20231114.0,1505.0,0.0,18,3.0,1.0,,,1.0,,99.0,melandfear,0.0,99.0,41160.0,"Dough, Cres - test overallocation 2",302673.0,,1.0,1.0,20231114.0,2,0
BL217019,StCharlesZD,-2000.0,20231114.0,1505.0,0.0,1,3.0,1.0,,,1.0,,-2000.0,melandfear,0.0,-2000.0,40000.0,"Water, Bottled water",302674.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,66.0,20231114.0,1505.0,0.0,18,3.0,1.0,,,1.0,,66.0,melandfear,0.0,66.0,41160.0,"Dough, Cres - test overallocation 2",302675.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,445.0,20231114.0,1505.0,0.0,18,3.0,1.0,,,1.0,,445.0,melandfear,0.0,445.0,41160.0,"Dough, Cres - test overallocation 2",302676.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,-68.0,20231114.0,1505.0,0.0,18,7.0,1.0,,,1.0,There were higher bids.,2.0,melandfear,0.0,0.0,41160.0,"Dough, Cres - test overallocation 2",302677.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,-478.0,20231114.0,1505.0,0.0,18,7.0,1.0,,,1.0,There were higher bids.,2.0,melandfear,0.0,0.0,41160.0,"Dough, Cres - test overallocation 2",302678.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,-7.0,20231114.0,1506.0,0.0,18,7.0,1.0,,,1.0,There were higher bids.,2.0,melandfear,0.0,0.0,41160.0,"Dough, Cres - test overallocation 2",302679.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,321.0,20231114.0,1506.0,0.0,18,3.0,1.0,,,1.0,,321.0,melandfear,0.0,321.0,41160.0,"Dough, Cres - test overallocation 2",302680.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,654.0,20231114.0,1506.0,0.0,18,3.0,1.0,,,1.0,,654.0,melandfear,0.0,654.0,41160.0,"Dough, Cres - test overallocation 2",302681.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,987.0,20231114.0,1506.0,0.0,18,3.0,1.0,,,1.0,,987.0,melandfear,0.0,987.0,41160.0,"Dough, Cres - test overallocation 2",302682.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,658.0,20231114.0,1506.0,0.0,18,3.0,1.0,,,1.0,,658.0,melandfear,0.0,658.0,41160.0,"Dough, Cres - test overallocation 2",302683.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,-658.0,20231114.0,1506.0,0.0,18,7.0,1.0,,,1.0,There were higher bids.,2.0,melandfear,0.0,0.0,41160.0,"Dough, Cres - test overallocation 2",302684.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,7.0,20231114.0,1507.0,0.0,18,3.0,1.0,,,1.0,,7.0,melandfear,0.0,7.0,41160.0,"Dough, Cres - test overallocation 2",302685.0,,1.0,1.0,20231114.0,2,0
BL229561,StLouis,1.0,20231114.0,1508.0,0.0,18,7.0,1.0,,,1.0,There were higher bids.,2.0,melandfear,0.0,0.0,41160.0,"Dough, Cres - test overallocation 2",302686.0,,1.0,1.0,20231114.0,2,0
BL229561,StLouis,2.0,20231114.0,1508.0,0.0,18,3.0,1.0,,,1.0,,2.0,melandfear,0.0,2.0,41160.0,"Dough, Cres - test overallocation 2",302687.0,,1.0,1.0,20231114.0,2,0
BL229561,StLouis,3.0,20231114.0,1508.0,0.0,18,3.0,1.0,,,1.0,,3.0,melandfear,0.0,3.0,41160.0,"Dough, Cres - test overallocation 2",302688.0,,1.0,1.0,20231114.0,2,0
BL229561,StLouis,5.0,20231114.0,1508.0,0.0,18,3.0,1.0,,,1.0,,5.0,melandfear,0.0,5.0,41160.0,"Dough, Cres - test overallocation 2",302689.0,,1.0,1.0,20231114.0,2,0
BL229561,StLouis,6.0,20231114.0,1509.0,0.0,18,3.0,1.0,,,1.0,,6.0,melandfear,0.0,6.0,41160.0,"Dough, Cres - test overallocation 2",302690.0,,1.0,1.0,20231114.0,2,0
BL229561,StLouis,7.0,20231114.0,1509.0,0.0,18,3.0,1.0,,,1.0,,7.0,melandfear,0.0,7.0,41160.0,"Dough, Cres - test overallocation 2",302691.0,,1.0,1.0,20231114.0,2,0
BL229561,StLouis,8.0,20231114.0,1509.0,0.0,18,3.0,1.0,,,1.0,,8.0,melandfear,0.0,8.0,41160.0,"Dough, Cres - test overallocation 2",302692.0,,1.0,1.0,20231114.0,2,0
BL229561,StLouis,9.0,20231114.0,1509.0,0.0,18,3.0,1.0,,,1.0,,9.0,melandfear,0.0,9.0,41160.0,"Dough, Cres - test overallocation 2",302693.0,,1.0,1.0,20231114.0,2,0
BL229561,StCharlesZD,1.0,20231114.0,1504.0,0.0,18,7.0,1.0,,,1.0,There were higher bids.,2.0,melandfear,0.0,0.0,41160.0,"Dough, Cres - test overallocation 2",302667.0,,1.0,1.0,20231114.0,2,0
